sku_id,product_family,sb_class,abc_tier,target_service_level,lead_time_weeks,corrected_weekly_forecast,expected_lead_time_demand,safety_stock_method,safety_stock,reorder_point,current_on_hand,gap_vs_reorder_point,status,latest_unit_cost,inventory_value
CB-1155,Contact Assembly,Intermittent,C,0.9,1.0,2.95,8.3,Empirical bootstrap,27.7,36.0,33,-3.0,Below ROP -- order now,171.34,5654.22
CB-1156,Molded Case,Smooth,A,0.98,5.0,59.59,298.0,Parametric (z*sigma*sqrt(LT)),18.5,316.5,168,-148.5,Below ROP -- order now,153.47,25782.96
CB-1157,Trip Unit,Smooth,B,0.95,1.0,39.94,39.9,Parametric (z*sigma*sqrt(LT)),17.2,57.1,98,40.9,At/above ROP -- OK,106.92,10478.16
CB-1158,Terminal Block,Smooth,C,0.9,1.0,37.82,37.8,Parametric (z*sigma*sqrt(LT)),11.5,49.3,27,-22.3,Below ROP -- order now,4.68,126.36
CB-1159,Contact Assembly,Smooth,C,0.9,5.0,68.05999999999999,340.3,Parametric (z*sigma*sqrt(LT)),47.8,388.1,14,-374.1,Below ROP -- order now,54.93,769.02
CB-1160,Molded Case,Smooth,B,0.95,5.0,72.97,364.8,Parametric (z*sigma*sqrt(LT)),53.3,418.1,86,-332.1,Below ROP -- order now,81.01,6966.860000000001
CB-1161,Trip Unit,Smooth,A,0.98,4.0,125.69000000000001,502.8,Parametric (z*sigma*sqrt(LT)),47.2,550.0,234,-316.0,Below ROP -- order now,141.18,33036.12
CB-1162,Terminal Block,Smooth,A,0.98,6.0,143.87,863.2,Parametric (z*sigma*sqrt(LT)),62.7,925.9,120,-805.9,Below ROP -- order now,179.47,21536.4
CB-1163,Contact Assembly,Intermittent,B,0.95,5.0,7.1000000000000005,56.9,Empirical bootstrap,59.1,116.0,87,-29.0,Below ROP -- order now,151.05,13141.35
CB-1164,Molded Case,Smooth,A,0.98,2.0,66.15,132.3,Parametric (z*sigma*sqrt(LT)),12.9,145.2,204,58.8,At/above ROP -- OK,179.84,36687.36
CB-1165,Trip Unit,Smooth,C,0.9,1.0,76.71,76.7,Parametric (z*sigma*sqrt(LT)),41.2,117.9,285,167.1,At/above ROP -- OK,18.55,5286.75
CB-1166,Terminal Block,Intermittent,C,0.9,4.0,0.0,26.0,Empirical bootstrap,40.0,66.0,56,-10.0,Below ROP -- order now,7.65,428.4
CB-1167,Contact Assembly,Smooth,C,0.9,3.0,56.580000000000005,169.7,Parametric (z*sigma*sqrt(LT)),11.3,181.0,29,-152.0,Below ROP -- order now,140.38,4071.02
CB-1168,Molded Case,Smooth,C,0.9,1.0,69.77,69.8,Parametric (z*sigma*sqrt(LT)),7.1,76.9,11,-65.9,Below ROP -- order now,164.14,1805.54
CB-1169,Trip Unit,Smooth,C,0.9,6.0,62.77,376.6,Parametric (z*sigma*sqrt(LT)),72.5,449.1,93,-356.1,Below ROP -- order now,3.46,321.78
CB-1170,Terminal Block,Smooth,A,0.98,1.0,128.86,128.9,Parametric (z*sigma*sqrt(LT)),28.1,157.0,293,136.0,At/above ROP -- OK,110.05,32244.65
CB-1171,Contact Assembly,Intermittent,C,0.9,6.0,13.129999999999999,58.6,Empirical bootstrap,86.4,145.0,0,-145.0,AT ZERO -- order now,153.27,0.0
CB-1172,Molded Case,Smooth,C,0.9,2.0,142.89,285.8,Parametric (z*sigma*sqrt(LT)),15.2,301.0,28,-273.0,Below ROP -- order now,144.67,4050.76
CB-1173,Trip Unit,Intermittent,C,0.9,1.0,5.7299999999999995,12.2,Empirical bootstrap,38.8,51.0,37,-14.0,Below ROP -- order now,126.42,4677.54
CB-1174,Terminal Block,Intermittent,C,0.9,5.0,5.0,39.9,Empirical bootstrap,45.1,85.0,50,-35.0,Below ROP -- order now,9.63,481.50000000000006
CB-1175,Contact Assembly,Smooth,A,0.98,1.0,75.77,75.8,Parametric (z*sigma*sqrt(LT)),6.7,82.5,261,178.5,Well above ROP -- excess,92.05,24025.05
CB-1176,Molded Case,Smooth,C,0.9,1.0,72.50999999999999,72.5,Parametric (z*sigma*sqrt(LT)),28.0,100.5,35,-65.5,Below ROP -- order now,114.33,4001.55
CB-1177,Trip Unit,Intermittent,C,0.9,3.0,7.64,15.3,Empirical bootstrap,39.7,55.0,0,-55.0,AT ZERO -- order now,132.9,0.0
CB-1178,Terminal Block,Smooth,A,0.98,1.0,109.35,109.4,Parametric (z*sigma*sqrt(LT)),11.3,120.7,377,256.3,Well above ROP -- excess,50.56,19061.120000000003
CB-1179,Contact Assembly,Smooth,B,0.95,4.0,80.74000000000001,323.0,Parametric (z*sigma*sqrt(LT)),108.9,431.9,105,-326.9,Below ROP -- order now,111.05,11660.25
CB-1180,Molded Case,Smooth,B,0.95,6.0,105.66000000000001,634.0,Parametric (z*sigma*sqrt(LT)),24.6,658.6,84,-574.6,Below ROP -- order now,111.89,9398.76
CB-1181,Trip Unit,Smooth,A,0.98,2.0,97.09,194.2,Parametric (z*sigma*sqrt(LT)),20.4,214.6,217,2.4,At/above ROP -- OK,128.45,27873.65
CB-1182,Terminal Block,Smooth,C,0.9,6.0,111.27999999999999,667.7,Parametric (z*sigma*sqrt(LT)),25.7,693.4,66,-627.4,Below ROP -- order now,18.78,1239.48
CB-1183,Contact Assembly,Smooth,C,0.9,3.0,95.42999999999999,286.3,Parametric (z*sigma*sqrt(LT)),11.6,297.9,40,-257.9,Below ROP -- order now,83.89,3355.6
CB-1184,Molded Case,Intermittent,C,0.9,6.0,5.02,42.9,Empirical bootstrap,54.1,97.0,47,-50.0,Below ROP -- order now,115.46,5426.62
CB-1185,Trip Unit,Smooth,B,0.95,3.0,98.78,296.3,Parametric (z*sigma*sqrt(LT)),89.1,385.4,43,-342.4,Below ROP -- order now,170.42,7328.059999999999
CB-1186,Terminal Block,Smooth,A,0.98,1.0,118.72,118.7,Parametric (z*sigma*sqrt(LT)),20.3,139.0,251,112.0,At/above ROP -- OK,105.1,26380.1
CB-1187,Contact Assembly,Smooth,B,0.95,2.0,52.25,104.5,Parametric (z*sigma*sqrt(LT)),38.1,142.6,65,-77.6,Below ROP -- order now,169.46,11014.9
CB-1188,Molded Case,Smooth,B,0.95,4.0,109.01,436.0,Parametric (z*sigma*sqrt(LT)),37.8,473.8,200,-273.8,Below ROP -- order now,92.73,18546.0
CB-1189,Trip Unit,Smooth,C,0.9,6.0,120.15,720.9,Parametric (z*sigma*sqrt(LT)),29.8,750.7,47,-703.7,Below ROP -- order now,23.66,1112.02
CB-1190,Terminal Block,Smooth,B,0.95,3.0,57.77,173.3,Parametric (z*sigma*sqrt(LT)),14.5,187.8,164,-23.8,Below ROP -- order now,51.86,8505.039999999999
CB-1191,Contact Assembly,Smooth,B,0.95,4.0,144.35,577.4,Parametric (z*sigma*sqrt(LT)),26.6,604.0,149,-455.0,Below ROP -- order now,110.95,16531.55
CB-1192,Molded Case,Smooth,B,0.95,3.0,73.98,221.9,Parametric (z*sigma*sqrt(LT)),54.1,276.0,86,-190.0,Below ROP -- order now,75.6,6501.599999999999
CB-1193,Trip Unit,Smooth,C,0.9,6.0,81.79,490.7,Parametric (z*sigma*sqrt(LT)),14.0,504.7,34,-470.7,Below ROP -- order now,106.92,3635.28
CB-1194,Terminal Block,Smooth,C,0.9,2.0,143.78,287.6,Parametric (z*sigma*sqrt(LT)),14.1,301.7,424,122.3,At/above ROP -- OK,8.9,3773.6
CB-1195,Contact Assembly,Smooth,B,0.95,3.0,123.22000000000001,369.7,Parametric (z*sigma*sqrt(LT)),25.5,395.2,439,43.8,At/above ROP -- OK,42.54,18675.06
CB-1196,Molded Case,Smooth,C,0.9,3.0,94.47,283.4,Parametric (z*sigma*sqrt(LT)),70.3,353.7,55,-298.7,Below ROP -- order now,102.92,5660.6
CB-1197,Trip Unit,Smooth,A,0.98,4.0,57.580000000000005,230.3,Parametric (z*sigma*sqrt(LT)),65.9,296.2,184,-112.2,Below ROP -- order now,118.31,21769.04
CB-1198,Terminal Block,Smooth,A,0.98,4.0,158.0,632.0,Parametric (z*sigma*sqrt(LT)),76.7,708.7,288,-420.7,Below ROP -- order now,142.27,40973.76
CB-1199,Contact Assembly,Smooth,C,0.9,2.0,32.04,64.1,Parametric (z*sigma*sqrt(LT)),15.7,79.8,36,-43.8,Below ROP -- order now,113.62,4090.32
CB-1200,Molded Case,Smooth,A,0.98,3.0,105.49,316.5,Parametric (z*sigma*sqrt(LT)),29.3,345.8,360,14.2,At/above ROP -- OK,93.51,33663.6
